City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Saint-Philippe,RE,-21.3585,55.7679,76.59,76,44,13.2,scattered clouds
80,Ponta Do Sol,PT,32.6667,-17.1,76.01,24,95,0.69,overcast clouds
81,Hobyo,SO,5.3505,48.5268,79.18,82,12,8.25,few clouds
82,Cidreira,BR,-30.1811,-50.2056,60.13,80,3,6.38,clear sky
83,Nicoya,CR,10.1483,-85.452,72.95,96,100,3.58,light rain
84,Fairbanks,US,64.8378,-147.7164,30.31,72,1,0.0,clear sky
85,Borgarnes,IS,64.5383,-21.9206,46.96,68,100,24.02,overcast clouds
86,Ola,RU,59.5833,151.2833,18.1,37,0,6.93,clear sky
87,Tiksi,RU,71.6872,128.8694,19.62,90,100,14.94,light snow
88,Lebu,CL,-37.6167,-73.65,51.3,91,7,14.32,clear sky
89,Yellowknife,CA,62.456,-114.3525,28.42,100,8,4.12,clear sky
90,Mayumba,GA,-3.432,10.6554,74.97,86,98,5.57,overcast clouds
91,Vaini,TO,-21.2,-175.2,77.16,83,20,11.5,few clouds
92,Eyl,SO,7.9803,49.8164,79.3,76,25,10.92,scattered clouds
93,Severo-Kurilsk,RU,50.6789,156.125,39.96,65,66,27.85,broken clouds
94,Kamaishi,JP,39.2667,141.8833,59.29,65,100,10.67,overcast clouds
95,Kahului,US,20.8947,-156.47,78.82,75,40,18.41,scattered clouds
96,Batouri,CM,4.4333,14.3667,66.38,99,99,2.15,overcast clouds
97,Caraballeda,VE,10.6112,-66.8522,81.37,73,75,1.14,broken clouds
98,Hofn,IS,64.2539,-15.2082,41.23,87,100,24.65,overcast clouds
99,Kozhva,RU,65.1073,57.0459,31.91,90,97,3.76,overcast clouds
100,Nikolskoye,RU,59.7035,30.7861,37.87,93,99,7.87,overcast clouds
101,Ancud,CL,-41.8697,-73.8203,48.42,94,4,1.97,clear sky
102,Praia Da Vitoria,PT,38.7333,-27.0667,65.75,87,11,11.77,few clouds
103,San Cristobal,VE,7.7669,-72.225,73.58,82,12,1.77,few clouds
